round_epochs,acc,loss,val_acc,val_loss,epochs,Second_Neron,First_Neron,batch_size
100,0.44214877184511214,8.991499451566334,0.50819672033435,7.9269323270829,100,8,8,10
50,0.78099173553719,0.4934743810291133,0.7540983606557377,0.4939784114478064,50,10,8,8
100,0.8471074380165289,0.3870024794389394,0.8524590163934426,0.37189664386334964,100,6,6,8
100,0.5578512426250237,7.048905775566731,0.4918032796656499,8.101868052951627,100,8,8,12
50,0.5578512518612806,0.6816274671515158,0.49180328088705655,0.6925833147080218,50,8,6,10
100,0.8264462809917356,0.4035402703876338,0.8032787002500941,0.3967675341934454,100,6,10,12
150,0.8595041233645982,0.3722170512538311,0.8688524472908895,0.37148148407701587,150,10,8,10
100,0.7355371900826446,0.5486819173925179,0.7377049190099122,0.61304273077699,100,6,8,8
100,0.4421487714140868,8.991499479978401,0.50819672033435,7.9269323270829,100,8,10,10
150,0.8429751987299643,0.37428682445248296,0.8688524472908895,0.3701126326303013,150,8,10,10
50,0.5578512450880255,7.0489057548775165,0.4918032796656499,8.101868052951627,50,10,10,12
50,0.7644628099173554,0.5308521995859697,0.7049180347411359,0.569624165042502,50,8,8,8
150,0.5578512396694215,7.048905727291897,0.49180327917708727,8.101867894657323,150,10,6,8
50,0.7768595041322314,0.45241743621747355,0.8524590163934426,0.41155261485303035,50,8,10,8
150,0.5578512396694215,7.048905699706275,0.49180327917708727,8.101867894657323,150,8,8,8
100,0.5578512441028248,7.048905802167152,0.4918032796656499,8.101868052951627,100,6,8,12
100,0.44214876501028205,8.99149942003991,0.5081967174029741,7.92693214729184,100,6,6,12
100,0.557851252230731,7.048905881968412,0.49180328088705655,8.101867927879585,100,6,6,10
50,0.44214876328618075,8.991499435803123,0.5081967174029741,7.92693214729184,50,10,6,12
150,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,150,6,8,8
100,0.5578512396694215,7.048905732217901,0.49180327917708727,8.101867894657323,100,8,8,8
50,0.557851249767729,7.048905780492735,0.49180328088705655,8.101867927879585,50,8,10,10
150,0.7066115702479339,0.5866413382459278,0.6885245921181851,0.5859842813405834,150,6,6,8
50,0.5578512512455301,7.048905867190401,0.49180328088705655,8.101867927879585,50,6,6,10
50,0.6528925624760714,0.5704480206424539,0.737704906307283,0.565035059803822,50,6,8,12
50,0.5578512512455301,7.048905829752773,0.49180328088705655,8.101867927879585,50,8,8,10
50,0.6942148794812605,0.6089021735940098,0.6721311514494849,0.6334477975720265,50,10,6,10
100,0.5578512519844308,7.0489058691608015,0.49180328088705655,8.101867927879585,100,6,8,10
100,0.55785125099923,7.0489058228563675,0.49180328088705655,8.101867927879585,100,10,6,10
50,0.7314049608943877,0.5566008730121881,0.7049180347411359,0.5575869659908482,50,6,10,10
50,0.7438016519073612,0.545786517464425,0.7213114675928335,0.5877350236548752,50,10,8,12
50,0.55785125099923,7.048905803152352,0.49180328088705655,8.101867927879585,50,10,10,10
100,0.4421487655028824,8.991499476037598,0.5081967174029741,7.92693214729184,100,8,10,12
100,0.44214877332291325,8.991499479978401,0.50819672033435,7.9269323270829,100,6,10,10
50,0.7231404975918699,0.5397999193057541,0.7704917974159365,0.49282939609934073,50,10,8,10
50,0.5578512428713239,7.048905796255949,0.4918032796656499,8.101868052951627,50,6,6,12
50,0.8016528925619835,0.48567224977430234,0.7704918042558139,0.47226355603483855,50,6,6,8
100,0.7727272727272727,0.49435947995540525,0.78688524785589,0.4961500631981209,100,10,10,8
150,0.8471074321053245,0.3701075115972314,0.8524590105306907,0.3520083183147868,150,8,8,10
50,0.5578512396694215,7.048905755862717,0.49180327917708727,8.101867894657323,50,10,10,8
150,0.8181818231078218,0.459709344816602,0.8524590163934426,0.38480926879116745,150,10,10,12
100,0.442148774308114,8.991499451566334,0.50819672033435,7.9269323270829,100,10,10,10
150,0.8305785114114935,0.3968936030037147,0.8688524551078921,0.38282084758164453,150,6,10,12
150,0.44214877215298737,8.991499420866356,0.50819672033435,7.9269323270829,150,10,10,10
150,0.5578512450880255,7.048905769655527,0.4918032796656499,8.101868052951627,150,6,8,12
100,0.8429752085819717,0.39794405555922135,0.8360655776789931,0.37951776727301173,100,10,6,12
50,0.6446280994198539,0.6257589062875952,0.6557377049180327,0.616829128538976,50,6,8,10
150,0.8388429781622138,0.4005041536220834,0.8524590163934426,0.39679875139330256,150,10,8,12
100,0.5578512450880255,7.048905735173501,0.4918032796656499,8.101868052951627,100,10,8,12
150,0.8553719008264463,0.3718876559133372,0.8524590163934426,0.370179183414725,150,8,10,8
150,0.5578512450880255,7.048905735173501,0.4918032796656499,8.101868052951627,150,8,6,12
50,0.640495867768595,0.6578263980298003,0.6229508201606938,0.6349239017142624,50,6,8,8
50,0.582644624650971,0.6868186203901433,0.5245901658886769,0.6938231010906032,50,6,10,12
100,0.557851252230731,7.048905847486387,0.49180328088705655,8.101867927879585,100,8,6,10
50,0.5578512396694215,0.684167526970225,0.49180327917708727,0.6932406845639963,50,6,10,8
150,0.851239665973285,0.3658388896175653,0.8688524570621428,0.3501134192357298,150,6,8,10
50,0.7975206611570248,0.48178484838856156,0.8032786885245902,0.44969963221276393,50,10,6,8
50,0.7561983490778394,0.5151958000068823,0.7540983723812416,0.5033122555154269,50,8,6,12
150,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,150,6,10,8
50,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,50,8,6,8
150,0.5578512524770312,7.048905810048757,0.49180328088705655,8.101867927879585,150,8,6,10
100,0.8429752066115702,0.3772952991329934,0.8852459016393442,0.3650130646639183,100,6,10,8
150,0.8471074360461275,0.35489762463599195,0.8852458938223416,0.37135013302818676,150,8,10,12
100,0.4421487657491826,8.991499443684727,0.5081967174029741,7.92693214729184,100,8,6,12
150,0.7892562013027097,0.4524004439677089,0.8360655659534892,0.4272612157415171,150,10,6,12
100,0.756198347107438,0.5227312258452423,0.7868852459016393,0.5317667478420696,100,10,6,8
150,0.8512396694214877,0.3742499925380896,0.8688524590163934,0.3698601831422477,150,10,8,8
100,0.8181818171966174,0.3981173383302925,0.868852466833396,0.402156476114617,100,10,10,12
150,0.6322314084068803,0.6533014395020225,0.6557377073608461,0.672042365934028,150,6,6,10
100,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,100,10,8,8
150,0.4421487714756619,8.991499471270348,0.50819672033435,7.9269323270829,150,6,10,10
150,0.44214876451768165,8.991499388513486,0.5081967174029741,7.92693214729184,150,8,8,12
100,0.5578512396694215,7.048905731232698,0.49180327917708727,8.101867894657323,100,8,6,8
50,0.5578512450880255,7.048905802167152,0.4918032796656499,8.101868052951627,50,8,10,12
150,0.8305785123966942,0.38411063744016916,0.8360655737704918,0.3707816236820377,150,10,10,8
100,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,100,8,10,8
100,0.7933884297520661,0.48878728703033825,0.7213114822497133,0.5088263476481203,100,10,8,10
50,0.557851247058427,7.048905793300345,0.4918032796656499,8.101868052951627,50,8,8,12
150,0.6115702486727849,0.6738643870373403,0.6229508226035071,0.6755369803944572,150,10,6,10
150,0.44214876033057854,8.991499498855969,0.5081967232657261,7.92693214729184,150,8,6,8
150,0.8305785133818949,0.3990740724338973,0.8524590163934426,0.3839943570191743,150,6,6,12
